source,source_url,retrieved_at,record_type,project_id,project_name,project_acronym,programme,programming_period,status,start_date,end_date,country,region,partner_name,partner_role,lead_partner,partner_country,partner_region,topic_keywords,project_summary,specific_objective,outputs,documents_url,training_signal,capacity_building_signal,knowledge_transfer_signal,dissemination_signal,exploitation_signal,sme_support_signal,entrepreneurship_signal,beneficiaries,languages,contact_name,contact_role,contact_email,contact_url,recency_score,geo_score,topic_score,training_transfer_score,beneficiary_score,entity_type_score,data_quality_score,commercial_relevance_score,score,score_reason,suggested_angle,next_action,notes
keep.eu,https://keep.eu/projects/33247/,2026-06-01T04:30:59.246Z,partner_in_project,00018,Green Mediterranean through Solar Driven Decarbonization of Industries,GREENOLIVE~A_T_2.1_0213,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-09-01,2028-08-31,Italy,00182 Roma,University eCampus,lead,yes,Italy,00182 Roma,training | education | skills | dissemination | communication | stakeholder engagement | replication | companies,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 041. Energy efficiency renovation of existing housing stock, demonstration projects and supporting measures
~
SUMMARY: The Mediterranean region faces a severe climate crisis and unemployment. The region, being blessed with abundant solar energy, must form effective international partnerships to promptly transit to greener, low-carbon and resilient economies. Industry contributes significantly to global warming of the region, which is estimated to be 20% higher than the rest of the world. Decarbonized and self-sufficient industries could promote sustainable development by alleviating unemployment rates. With 8 partners from Italy, Spain, France, Türkiye, Palestine and Egypt and 9 Associated partners, GREENOLIVE is committed to build a novel solar energy pilot partially addressing process heat of the plastics industry, which must undergo a deep energy transformation. The solar system will rely on 600 kWe PV system to provide heat at about 300°C through electric heaters using the Power to Heat (P2H) concept. Using P2H concept for process heat at 300°C is a novel approach. It is expected to decrease fossil fuel use in the plastics plant by 18-22%, through using solar energy efficiently. When solar energy is in excess, packed-bed thermal energy storage (TES), scaled-up based on previous EU project results, will store heat for periods when radiation is unavailable. Integrating TES in the system will avoid using expensive batteries and make it more energy efficient at lower cost. Locally available waste materials will be developed as TES materials. Low-cost and locally available components will be used in the system to deliver affordable clean energy and contribute to UN SDG7. The project will also prepare a replication plan for textiles and agri-products industries and the residential sector. The creation of GREENOLIVE Training Kit and white paper will optimize knowledge and skills transfer in solar energy systems and policy improvement, benefiting local industries, society, education, and engineering companies.
~
KEEP KEYWORDS: Energy efficiency, Green technologies, Renewable energy",RSO2.1. Promoting energy efficiency and reducing greenhouse gas emissions,"(1.1) Technical Manual on reporting and financial procedures(EN)

(1.2) Quality and Risk Management Strategy(EN)

(2.1) Communication and dissemination Plan(EN)

(2.2) Videos(EN)

(2.3) Rollup posters(EN)

(2.4) Stakeholder Engagement(EN)

(3.1) R&D on Thermal Storage System and Power to Heat Conversion System(EN)

(3.2) System integration and overall plant design(EN)

(4.1) Assembling GREENOLIVE system at the demo site(EN)

(4.2) Demonstration of GREENOLIVE system(EN)

(5.1) Evaluation of performance of GREENOLIVE(EN)

(5.2) GREENOLIVE replicability business plan(EN)

(6.1) GREENOLIVE Training Kit(EN)

(6.1) GREENOLIVE Training Kit(EN)

(6.2) White paper(EN)",,yes,no,no,yes,yes,yes,no,companies,EN,,,,https://www.uniecampus.it/en/index.html,5,5,5,5,5,5,5,5,5,2021-2027 ongoing; training/learning signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=33247 | partner_org_type=N.a. | partner_legal_status=public | project_budget=EUR 2 749 277.78
keep.eu,https://keep.eu/projects/33235/,2026-06-01T04:30:59.246Z,partner_in_project,00035,Developing a pilot circular system for post-consumer textile waste in the Mediterranean,Waste2Fashion~A_T_2.4_...,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-11-11,2028-11-10,Spain,08038 Barcleona,Next Technology Tecnotessile Società Nazionale di Ricerca r.l.,partner,no,Italy,59100 Prato,training | learning | academy | capacity | technology transfer | guidelines | dissemination | awareness | communication | exploitation | valorisation | sme | smes | business support | entrepreneur | entrepreneurs | entrepreneurship | start-up,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD: 075. Support to environmentally-friendly production processes and resource efficiency in SMEs
~
SUMMARY: Waste2Fashion aims to help Mediterranean countries transition to a circular and resource-efficient economy by minimising the negative environmental impact of post-consumer textile waste and maximising the socio-economic opportunities presented by the growing sustainable fashion sector. The project will deliver two pilots to 1) collect, re-use and recycle and 2) to prevent and revalorise post-consumer textile waste.

The post-consumer textile waste management and treatment pilot (WP3) will address the shared challenges of Egypt, Italy, Lebanon, Spain, and Tunisia: adequate collection and sorting systems to meet the scale of need presented by a linear ‘fast’ fashion industry and the technical challenge of fibre separation in recycling. The holistic model, adapted to context, will include collection infrastructure; the transfer of leading-edge textile sorting technology; and the development of sustainable local value chains for the commercial exploitation of the treated materials.

The waste reduction and revalorisation pilot (WP4) aims to increase the ability of designers and start-ups to reduce waste in the design phase and to develop circular initiatives to revalorise recycled materials. The cross-border Eco-design Academy will build the capacity of 60 designers to contribute to waste-reduction in the design phase and to develop a circular business model. The cross-border Acceleration Lab will support the development of 10 economic initiatives that make use of recycled materials in their product design, including those produced by the waste management pilot, optimising industrial symbiosis. Initiatives will be supported with a range of business support services, including access to finance.

The holistic project model, including results and learnings, alongside policy recommendations will be disseminated across the region (WP2 & WP5), providing an actionable solution for policymakers and sector leaders to address the impacts of post-consumer textile waste.
~
KEEP KEYWORDS: Innovation capacity and awareness-raising, Knowledge and technology transfer, SME and entrepreneurship",RSO2.6. Promoting the transition to a circular and resource efficient economy,"(1.1) Memorandum of Understanding(EN)

(1.2) Project Implementation and Operation Manual(EN)

(1.3) Project Steering Committee and Project Steering Meetings(EN)

(1.4) Strategic and Operations Reports(EN)

(1.5) Waste2Fashion MEAL System(EN)

(2.1) Communication users access info, tools, and stories, fostering understanding of sustainable fashion.(EN)

(2.2) Local awareness-raising campaigns generate the right behaviour change on post-consumer textile waste(EN)

(2.3) Policy- and decision-makers build capacities on sustainability and textile waste reduction.(EN)

(3.1) Cross-border post-consumer textile waste treatment pilot implemented(EN)

(3.2) Sustainable circular business plans for continued treatment of post-consumer textile waste delivered(EN)

(4.1) Training academy has improved capacities of designers/start-ups to reduce/valorise textile waste(EN)

(4.2) Post-consumer textile waste valorisation initiatives implemented by designers and start-ups(EN)

(5.1) Regional policy mechanisms have endorsed Guidelines for post-consumer textile waste management(EN)

(5.2) A dissemination and exploitation campaign has enhanced awareness of and sustainability of results(EN)",,yes,yes,yes,yes,yes,yes,yes,entrepreneurs | smes,EN,,,,https://www.tecnotex.it/en/,5,5,5,5,5,5,5,5,5,2021-2027 ongoing; training/learning signal; capacity-building signal; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=33235 | partner_org_type=N.a. | partner_legal_status=private | project_budget=EUR 2 822 814.00
keep.eu,https://keep.eu/projects/32768/,2026-06-01T04:30:59.246Z,partner_in_project,Euro-MED0401133,Systemic circular bioeconomy solutions to support start-up and social driven innovation in rural areas,BIOSTARS,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2025-04-01,2027-06-30,Greece,GR-50200 Ptolemais Ptolemais,CUEIM Consorzio Universitario di Economia Industriale e Manageriale,partner,no,Italy,37129 Verona,training | education | skills | exploitation | uptake | transferability | entrepreneur | entrepreneurs | entrepreneurship | startup | start-up | platform | youth | communities,"BIOSTARS supports rural communities in the Mediterranean by helping them build stronger local economies through sustainable, bio-based businesses. The project brings together startups, investors, and communities to create jobs, reduce environmental impact, and promote social innovation. Using a special toolbox developed from earlier projects, BIOSTARS will guide regions in setting up bioeconomy startup villages. It offers practical and social solutions, training, and support to boost green skills, encourage entrepreneurship, and connect local players in a shared effort to grow circular, resource-efficient rural economies.",RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"BIOSTARS toolbox to support start-up and social innovation in rural communities(EN)

Set up of a Transnational Cluster with a focus on Cross-Sector Collaboration for Bioeconomy Growth in the Mediterranean region(EN)

Framework for the establishment of circular bioeconomy start up villages(EN) || - BIOSTARS Toolbox Development and Launch Report

- BIOSTARS training material

- Youth platform results

- Comprehensive Innovation Integration Report

- Transferability plan for the capitalization and exploitation of the results beyond the partnership

Read more",,yes,no,no,no,yes,no,yes,youth | communities | entrepreneurs,EN,,,,https://www.cueim.org/en,5,5,5,5,5,5,5,5,5,2021-2027 ongoing; training/learning signal; business-facing beneficiaries; Higher education and research organisations; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=32768 | partner_org_type=Higher education and research organisations | partner_legal_status=public | project_budget=EUR 1 500 000.00
keep.eu,https://keep.eu/projects/32768/,2026-06-01T04:30:59.246Z,partner_in_project,Euro-MED0401133,Systemic circular bioeconomy solutions to support start-up and social driven innovation in rural areas,BIOSTARS,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2025-04-01,2027-06-30,Greece,GR-50200 Ptolemais Ptolemais,Fundación Corporación Tecnológica De Andalucía,partner,no,Spain,41092 Sevilla,training | skills | exploitation | uptake | transferability | business support | entrepreneur | entrepreneurs | entrepreneurship | startup | start-up | platform | youth | communities,"BIOSTARS supports rural communities in the Mediterranean by helping them build stronger local economies through sustainable, bio-based businesses. The project brings together startups, investors, and communities to create jobs, reduce environmental impact, and promote social innovation. Using a special toolbox developed from earlier projects, BIOSTARS will guide regions in setting up bioeconomy startup villages. It offers practical and social solutions, training, and support to boost green skills, encourage entrepreneurship, and connect local players in a shared effort to grow circular, resource-efficient rural economies.",RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"BIOSTARS toolbox to support start-up and social innovation in rural communities(EN)

Set up of a Transnational Cluster with a focus on Cross-Sector Collaboration for Bioeconomy Growth in the Mediterranean region(EN)

Framework for the establishment of circular bioeconomy start up villages(EN) || - BIOSTARS Toolbox Development and Launch Report

- BIOSTARS training material

- Youth platform results

- Comprehensive Innovation Integration Report

- Transferability plan for the capitalization and exploitation of the results beyond the partnership

Read more",,yes,no,no,no,yes,yes,yes,youth | communities | entrepreneurs,EN,,,,http://www.corporaciontecnologica.com/es,5,5,5,5,5,5,5,5,5,2021-2027 ongoing; training/learning signal; business-facing beneficiaries; Business support organisation; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=32768 | partner_org_type=Business support organisation | partner_legal_status=private | project_budget=EUR 1 500 000.00
keep.eu,https://keep.eu/projects/32765/,2026-06-01T04:30:59.246Z,partner_in_project,Euro-MED0401373,Creative craft for industrial symbiosis in blue-economy sectors - RECONNECT,RECONNECT,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2025-04-01,2027-12-31,Italy,31100 Treviso,t2i - trasferimento tecnologico e innovazione,lead,yes,Italy,31100 Treviso,education | methodology | toolkit | guidelines | uptake | sme | smes | communities,"RECONNECT aims to boost the circular economy in the Mediterranean by reusing waste from fisheries and aquaculture to create valuable bio-based products. It promotes collaboration between industries, craft-based businesses, and communities using innovative technology and sustainable business models. The project highlights the role of crafts in driving creative and social approaches to circularity. It supports cooperation between sectors that rarely interact, benefiting both large industries and small firms. RECONNECT will test its tools with 130 SMEs and create networks and resources to ensure long-term impact in sustainable blue economy practices.",RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"Methodology

(EN)

RECONNECT toolkit(FR)

AI-based tool(FR)

AI-based tool(EN)

RECONNECT network(EN)

RECONNECT network(FR) || - We selected the English language

- Regional report of industrial symbiosis and circularity

- Stakeholder map

- We selected the English language

- Methodology guide

- We selected the English language

- We selected the English language

- AI-based tool and guidelines

- We selected the English language

- Lesson learnt from the exchange knowledge experience

- We selected the English language

- Conceptualization of the online toolkit

- We selected the English language

- Report on the pilot implementation - opportunities for re-use for the fishery sector

- Report on the pilot implementation - opportunities for re-use for the aquaculture sector

- We selected the English language

- Report on the pilot of the intersectoral innovation brokerage unit

- We selected the English language

- We selected the English language

- OI Methodology and Guidelines document and consulting services for SMEs

- We selected the English language

- AI-Based tool and Guidelines document and consulting for SMEs

- Position paper of the transition pathways in the RECONNECT sectors.

- We selected the English language

- We selected the English language

- RECONNECT follow-up agreement

Read more",,yes,no,yes,no,yes,yes,no,communities | smes,EN,,,,https://www.t2i.it/,5,5,5,5,5,5,5,5,5,2021-2027 ongoing; training/learning signal; knowledge-transfer signal; business-facing beneficiaries; Higher education and research organisations; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=32765 | partner_org_type=Higher education and research organisations | partner_legal_status=public | project_budget=EUR 2 126 450.00
keep.eu,https://keep.eu/projects/31593/,2026-06-01T04:30:59.246Z,partner_in_project,Euro-MED0401090,MEDiterranean 4 REGENerative Tourism and Culture,MED4REGEN,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2025-04-01,2027-12-31,Italy,30121 Venezia,Università Iuav di Venezia,partner,no,Italy,30135 Venezia,training | education | course | online training | pilot action | sme | smes | platform | communities,"Adapting to climate change is not just a set of actions, it is a state of mind. Therefore, cultural institutions such as museums or historical sites have a role to play in encouraging their visitors to adopt a lifestyle based on sustainability, accessibility and inclusiveness.
MED4REGEN aims to engage the tourism industry in this change, from cultural institutions to businesses and local authorities, by providing them operational and collaborative tools.
Thanks to the ancient remains of its millenary history, the Mediterranean is the most popular tourist destination in the world. Let it also be the cradle of its sustainable future!","RSO2.4. Promoting climate change adaptation and disaster risk prevention and resilience, taking into account eco-system based approaches","Organisations cooperate in thematic working groups(FR)

Organisations cooperate in thematic working groups(EN)

MED4REGEN Strategy(EN)

MED4REGEN Strategy(FR)

Solutions to increase capacities for the cultural change in tourism(EN)

Solutions to increase capacities for the cultural change in tourism(FR)

Solutions to implement hyperlocal and regenerative tourism models(FR)

Solutions to implement hyperlocal and regenerative tourism models(EN)

MED Action Plan for regenerative tourism towards cultural change (EN)

MED Action Plan for regenerative tourism towards cultural change(FR) || - Catalog of existing tools and instruments for regenerative tourism and community-based practices

- Catalog of existing tools and instruments for regenerative tourism and community-based practices

- Elaboration of the Hyperlocal design framework

- Elaboration of the Hyperlocal design framework

- MED4REGEN map for regenerative cultural and tourism processes and stakeholders

- MED4REGEN map for regenerative cultural and tourism processes and stakeholders

- Transnational summary report for 5 regenerative tourism challenges

- Transnational summary report for 5 regenerative tourism challenges

- Finalization of the MED4REGEN Strategy

- Finalization of the MED4REGEN Strategy

- Training report

- Training report

- Transnational Testing Report on pilot action

- Transnational Testing Report on pilot action

- Fine tuning of the MED4REGEN toolbox for museums, communities, SMEs, policy makers

- Fine tuning of the MED4REGEN toolbox for museums, communities, SMEs, policy makers

- Impact Evaluation Report

- Impact Evaluation Report

- Action plans for MED regenerative tourism

- Action plans for MED regenerative tourism

- Project video

- Project video

- Project platform

- Project platform

- Project publication and research papers

- Project publication and research papers

- Online training course for other networks

- Online training course for other networks

- Training report

- Training report

Read more",,yes,no,yes,no,no,yes,no,communities | smes,EN,,,,http://www.iuav.it,5,5,5,5,5,5,5,5,5,2021-2027 ongoing; training/learning signal; knowledge-transfer signal; business-facing beneficiaries; Higher education and research organisations; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=31593 | partner_org_type=Higher education and research organisations | partner_legal_status=public | project_budget=EUR 2 076 429.60
keep.eu,https://keep.eu/projects/31585/,2026-06-01T04:30:59.246Z,partner_in_project,Euro-MED0401426,Supporting a smarter & innovative Open Lab network in Euro-MED area,Sole MED,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2025-04-01,2027-06-30,Italy,44121 Ferrara,Università degli Studi di Ferrara,partner,no,Italy,44121 Ferrara,training | education | course | methodology | uptake | reuse | sme | smes | enterprise | enterprises | companies | entrepreneur | entrepreneurs | startup | start-up,"Sole MED aims to create a network of Open Labs across the Euro-Mediterranean region to support innovation, business growth, and training for young people. Inspired by a successful project in Italy, it will be adapted to other areas like Spain, Greece, and Bulgaria. These collaborative spaces will help new businesses and small companies through training, digital tools, and science and technology programs. A key part of the project is a Startup Creation Lab focused on the sustainable bioeconomy, offering young entrepreneurs hands-on training in business development, innovation, and eco-friendly practices.",RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"see English version of the AF(FR)

Euro-MED Stakeholder & enterprises framework to transfer and enlarge Sole Open Lab Network model and related activities(EN)

see English version of the AF(FR)

Sole MED Network of Open Labs – Implementation package at Euro-MED Level(EN)

Training Course implementation and amplification(EN)

see English version of the AF(FR) || - Map chart of the Euro-MED Open Labs

- see English version of the AF

- see English version of the AF

- Database of Start-ups and SMEs on bioeconomy

- Sole MED Baseline study on Bioeconomy Start-up ecosystem and collaborative spaces for acceleration

- see English version of the AF

- Memorandum of Understanding of the Sole MED network of Open Labs

- see English version of the AF

- Sole MED Implementation Methodology and Action Plan

- see English version of the AF

- see English version of the AF

- Report on producing, reuse,and integrating knowledge with the support of Thematic Community Projects

- Common Training Course model “Bio-economy start-up creation Lab”

- see English version of the AF

- Implementation Results of the Training Course

- see English version of the AF

Read more",,yes,no,yes,no,yes,yes,yes,companies | entrepreneurs | smes,EN,,,,http://www.unife.it,5,5,5,5,5,5,5,5,5,2021-2027 ongoing; training/learning signal; knowledge-transfer signal; business-facing beneficiaries; Higher education and research organisations; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=31585 | partner_org_type=Higher education and research organisations | partner_legal_status=public | project_budget=EUR 1 434 750.00
keep.eu,https://keep.eu/projects/33268/,2026-06-01T04:30:59.246Z,partner_in_project,00048,Developing Inclusive Education in the Mediterranean,DIEM~A_T_3.1_0118,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-03,2028-10-02,Italy,00185 Roma,Sapienza University of Rome,lead,yes,Italy,00185 Roma,training | trainings | learning | education | course | skills | capacity building | capacity development | capacity | knowledge transfer | toolkit | dissemination | communication | replication | scalability | beneficiaries | youth | women | communities,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD:

151. Support for adult education (excluding infrastructure)
~
SUMMARY: The Mediterranean is united by some major challenges related to the development of its different areas and communities, especially regarding the gap between cultural heritage developmental potential and the social and economic precariousness prevailing around important cultural sites.
Education, continuous training and skills development represent a key tool both for strengthening the potential of territories and for promoting inclusion, empowerment and social cohesion.
Furthermore, Cultural Heritage (CH) is one of the most sound, common and recognizable Mediterranean traits as well as an acknowledged driver for its development.
Accordingly, its main objective will be reinforcing and innovating the consortium's different learning/teaching systems to make them more integrated and compatible. Besides, the focus on Cultural Heritage will allow DIEM to exploit the acknowledged multiplier effect of CH-oriented activities in terms of know-how exchanging, empowerment of people and, eventually, economic growth.
Hence, DIEM is expected to contribute to social inclusion and to skills development for the unintegrated groups (youth, women, rural inhabitants and NEETs). Capitalizing on the experience of its partners, DIEM will move along 3 concurrent lines of development: deliver a cascade model of teaching/training programs for 3 groups (A-Leaders, B-Future Managers, C-Local communities); setup a toolkit for teaching/learning capable to combine knowledge, emerging technologies (i.e. AI) and the lessons learned from the pandemic; assume DIEM as an occasion for the first beneficiaries and for broader communities, the assets and territories belonging to the 6 countries of DIEM consortium (IT, EGY, JOR, TUN, ES,PS).
The project entails 3 technical WPs: Standardization (Partners design systems for international cooperation), Training around pilot areas (TOT courses and inclusion-oriented trainings), Scalability (replication on youth and extension to broader communities).
~
KEEP KEYWORDS: Cultural heritage and arts, Education and training, Social inclusion and equal opportunities","RSO4.2. Improving equal access to inclusive and quality services in education, training and lifelong learning through developing accessible infrastructure, including by fostering resilience for distance and on-line education and training","(1.1) Project coordination and implementation teams(EN)

(1.2) Set up of the project Steering Committee(EN)

(1.3) Set up of Scientific and Technical Committee(EN)

(2.1) Communication and Dissemination Plan (CDP)(EN)

(2.2) Communication and dissemination events(EN)

(2.3) Content Creation on the web site of the project and Social Media Broadcasting(EN)

(2.4) Sourcing and relationship with the target groups and beneficiaries(EN)

(2.5) Cross-border network, dissemination and capitalization(EN)

(3.1) Transborder and multilayer approach for development of a common training and education system(EN)

(3.2) Digitization and sharing of the common training and education system(EN)

(3.3) Institutional capacity building and knowledge transfer of sustainable heritage management(EN)

(4.1) Training of Trainers program for the capacity development of the site managers and professors(EN)

(4.2) Co-Design and development of Diversty and Inclusion training program: mentoring for Group C(EN)

(4.3) O.4.3- Diversity and inclusion training program co-lad by the Consortium and Group A(EN)

(5.1) Cascade training model with the Empowerment of group A for the upscaling of training programs toward group B(EN)

(5.2) Innovative approach for the experimentation of management and communication plans of pilot sites(EN)

(5.3) Cascade training model to empower group B and scale programs for local fragile communities(EN)",,yes,yes,yes,yes,yes,no,no,beneficiaries | youth | women | communities,EN,,,,http://www.uniroma1.it,5,5,5,5,4,5,5,5,4.9,2021-2027 ongoing; training/learning signal; capacity-building signal; knowledge-transfer signal; N.a.; geo=5,"Turn training, workshops and capacity-building assets into scalable learning paths.",Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=33268 | partner_org_type=N.a. | partner_legal_status=public | project_budget=EUR 2 806 048.00
keep.eu,https://keep.eu/projects/33266/,2026-06-01T04:30:59.246Z,partner_in_project,00020,Holistic Environmental Education from Training to Action,HEEFTA~A_Y_3.1_0232,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-03,2027-10-02,Spain,30500 Murcia,National Technological Centre for the Food and Canning Industry,lead,yes,Spain,30500 Murcia,training | learning | education | skills | upskilling | capacity building | capacity | dissemination | awareness | communication | sme | beneficiaries | students | youth,"PROJECT TYPE: 2 - Youth-oriented projects
~
MAIN INTERVENTION FIELD:
~
SUMMARY: The educational landscape lacks comprehensive coverage of the socio-political, economic & technical dimensions of the ecosystem, hindering the root causes & ramifications of the eco-crisis. Our project aims to develop a holistic environmental training program for higher education students & an advocacy initiative through network building. We strive to transform individuals' perceptions of social & environmental ecosystems & confront nature preservation challenges through interdisciplinary training driven by the collaborative efforts of academics, researchers, & experts from diverse disciplines.
The environmental crisis is complex & part of a global polycrisis. Despite local variations, its systematic nature shares common traits. National actors often focus on local symptoms without addressing underlying causes. The systematic structure of the environmental crisis calls for collective solutions based on contemporary approaches & evidence-based knowledge.
Within this scope our goal is to
-Strengthen interdisciplinary collaboration to develop & promote consensus-based approaches & solutions for green transition
-Foster knowledge sharing through training programs highlighting the interconnected nature of environmental & social ecosystems
-Enhance blue & green upskilling among higher education students
-Build capacity for long-term network & advocacy

By enhancing blue & green upskilling, we anticipate a significant shift in how young adults perceive & address environmental challenges. The training programs will nurture solution-oriented mindsets among university students entering the workforce. By fostering interdisciplinary collaboration & empowering young adults with skills, we envision a generation equipped to tackle environmental issues in their everyday lives. Beneficiaries extend beyond higher education students to society as a whole. In the long term, we aim to create a ripple effect impacting sectors, & actors, with broader adult education through our network.
~
KEEP KEYWORDS: Education and training, Innovation capacity and awareness-raising, Scientific cooperation","RSO4.2. Improving equal access to inclusive and quality services in education, training and lifelong learning through developing accessible infrastructure, including by fostering resilience for distance and on-line education and training","(1.1) Establishment of Online Project Management Supporting Tools(EN)

(1.2) Establishment of PM Standards and Procedures(EN)

(1.3) Consortium Meetings(EN)

(1.4) Annual Progress Reports and Project Monitoring Reports(EN)

(1.5) Financial Audit(EN)

(2.1) Communication Tools and Materials(EN)

(2.2) Country Based and Mediterranean Dissemination Plans(EN)

(2.3) Establishment of HEEFTA Network(EN)

(3.1) Establishment of Strategy Document for MoU(EN)

(3.2) Needs Analysis Research(EN)

(3.3) Interdisciplinary Network Establishment(EN)

(3.4) Memorandum of Understanding (MoU) Establishment(EN)

(3.5) Developing Training Program Framework(EN)

(3.6) Feedback Collection and Capacity Building for Partners(EN)

(4.1) Piloting Phase of Training(EN)

(4.2) Adaptation of Training Modules(EN)

(4.3) Implementation of the Training Modules(EN)

(5.1) Establishment of Network of HEEFTA Associated Partners(EN)

(5.2) Impact Assessment of HEEFTA Project(EN)

(5.3) Know-How Dissemination and Advocacy(EN)

(5.4) Follow-up and Sustainability(EN)",,yes,yes,no,yes,no,yes,no,beneficiaries | students | youth,EN,,,,http://www.ctnc.es,5,5,5,5,4,5,5,5,4.9,2021-2027 ongoing; training/learning signal; capacity-building signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=33266 | partner_org_type=N.a. | partner_legal_status=private | project_budget=EUR 981 602.49
keep.eu,https://keep.eu/projects/31593/,2026-06-01T04:30:59.246Z,partner_in_project,Euro-MED0401090,MEDiterranean 4 REGENerative Tourism and Culture,MED4REGEN,2021 - 2027 Interreg VI-B EURO Mediterranean (EURO MED),2021-2027,ongoing,2025-04-01,2027-12-31,Italy,30121 Venezia,REGIONE DEL VENETO,lead,yes,Italy,30121 Venezia,training | course | online training | pilot action | sme | smes | platform | communities,"Adapting to climate change is not just a set of actions, it is a state of mind. Therefore, cultural institutions such as museums or historical sites have a role to play in encouraging their visitors to adopt a lifestyle based on sustainability, accessibility and inclusiveness.
MED4REGEN aims to engage the tourism industry in this change, from cultural institutions to businesses and local authorities, by providing them operational and collaborative tools.
Thanks to the ancient remains of its millenary history, the Mediterranean is the most popular tourist destination in the world. Let it also be the cradle of its sustainable future!","RSO2.4. Promoting climate change adaptation and disaster risk prevention and resilience, taking into account eco-system based approaches","Organisations cooperate in thematic working groups(FR)

Organisations cooperate in thematic working groups(EN)

MED4REGEN Strategy(EN)

MED4REGEN Strategy(FR)

Solutions to increase capacities for the cultural change in tourism(EN)

Solutions to increase capacities for the cultural change in tourism(FR)

Solutions to implement hyperlocal and regenerative tourism models(FR)

Solutions to implement hyperlocal and regenerative tourism models(EN)

MED Action Plan for regenerative tourism towards cultural change (EN)

MED Action Plan for regenerative tourism towards cultural change(FR) || - Catalog of existing tools and instruments for regenerative tourism and community-based practices

- Catalog of existing tools and instruments for regenerative tourism and community-based practices

- Elaboration of the Hyperlocal design framework

- Elaboration of the Hyperlocal design framework

- MED4REGEN map for regenerative cultural and tourism processes and stakeholders

- MED4REGEN map for regenerative cultural and tourism processes and stakeholders

- Transnational summary report for 5 regenerative tourism challenges

- Transnational summary report for 5 regenerative tourism challenges

- Finalization of the MED4REGEN Strategy

- Finalization of the MED4REGEN Strategy

- Training report

- Training report

- Transnational Testing Report on pilot action

- Transnational Testing Report on pilot action

- Fine tuning of the MED4REGEN toolbox for museums, communities, SMEs, policy makers

- Fine tuning of the MED4REGEN toolbox for museums, communities, SMEs, policy makers

- Impact Evaluation Report

- Impact Evaluation Report

- Action plans for MED regenerative tourism

- Action plans for MED regenerative tourism

- Project video

- Project video

- Project platform

- Project platform

- Project publication and research papers

- Project publication and research papers

- Online training course for other networks

- Online training course for other networks

- Training report

- Training report

Read more",,yes,no,yes,no,no,yes,no,communities | smes,EN,,,,http://www.regione.veneto.it,5,5,5,5,5,4,5,5,4.9,2021-2027 ongoing; training/learning signal; knowledge-transfer signal; business-facing beneficiaries; Regional public authority; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=31593 | partner_org_type=Regional public authority | partner_legal_status=public | project_budget=EUR 2 076 429.60
