source,source_url,retrieved_at,record_type,project_id,project_name,project_acronym,programme,programming_period,status,start_date,end_date,country,region,partner_name,partner_role,lead_partner,partner_country,partner_region,topic_keywords,project_summary,specific_objective,outputs,documents_url,training_signal,capacity_building_signal,knowledge_transfer_signal,dissemination_signal,exploitation_signal,sme_support_signal,entrepreneurship_signal,beneficiaries,languages,contact_name,contact_role,contact_email,contact_url,recency_score,geo_score,topic_score,training_transfer_score,beneficiary_score,entity_type_score,data_quality_score,commercial_relevance_score,score,score_reason,suggested_angle,next_action,notes
keep.eu,https://keep.eu/projects/33268/,2026-05-31T20:49:13.796Z,partner_in_project,00048,Developing Inclusive Education in the Mediterranean,DIEM~A_T_3.1_0118,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-03,2028-10-02,Italy,00185 Roma,Sapienza University of Rome,lead,yes,Italy,00185 Roma,training | trainings | learning | education | course | skills | capacity building | capacity development | capacity | knowledge transfer | toolkit | dissemination | communication | replication | scalability | beneficiaries | youth | women | communities,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD:

151. Support for adult education (excluding infrastructure)
~
SUMMARY: The Mediterranean is united by some major challenges related to the development of its different areas and communities, especially regarding the gap between cultural heritage developmental potential and the social and economic precariousness prevailing around important cultural sites.
Education, continuous training and skills development represent a key tool both for strengthening the potential of territories and for promoting inclusion, empowerment and social cohesion.
Furthermore, Cultural Heritage (CH) is one of the most sound, common and recognizable Mediterranean traits as well as an acknowledged driver for its development.
Accordingly, its main objective will be reinforcing and innovating the consortium's different learning/teaching systems to make them more integrated and compatible. Besides, the focus on Cultural Heritage will allow DIEM to exploit the acknowledged multiplier effect of CH-oriented activities in terms of know-how exchanging, empowerment of people and, eventually, economic growth.
Hence, DIEM is expected to contribute to social inclusion and to skills development for the unintegrated groups (youth, women, rural inhabitants and NEETs). Capitalizing on the experience of its partners, DIEM will move along 3 concurrent lines of development: deliver a cascade model of teaching/training programs for 3 groups (A-Leaders, B-Future Managers, C-Local communities); setup a toolkit for teaching/learning capable to combine knowledge, emerging technologies (i.e. AI) and the lessons learned from the pandemic; assume DIEM as an occasion for the first beneficiaries and for broader communities, the assets and territories belonging to the 6 countries of DIEM consortium (IT, EGY, JOR, TUN, ES,PS).
The project entails 3 technical WPs: Standardization (Partners design systems for international cooperation), Training around pilot areas (TOT courses and inclusion-oriented trainings), Scalability (replication on youth and extension to broader communities).
~
KEEP KEYWORDS: Cultural heritage and arts, Education and training, Social inclusion and equal opportunities","RSO4.2. Improving equal access to inclusive and quality services in education, training and lifelong learning through developing accessible infrastructure, including by fostering resilience for distance and on-line education and training","(1.1) Project coordination and implementation teams(EN)

(1.2) Set up of the project Steering Committee(EN)

(1.3) Set up of Scientific and Technical Committee(EN)

(2.1) Communication and Dissemination Plan (CDP)(EN)

(2.2) Communication and dissemination events(EN)

(2.3) Content Creation on the web site of the project and Social Media Broadcasting(EN)

(2.4) Sourcing and relationship with the target groups and beneficiaries(EN)

(2.5) Cross-border network, dissemination and capitalization(EN)

(3.1) Transborder and multilayer approach for development of a common training and education system(EN)

(3.2) Digitization and sharing of the common training and education system(EN)

(3.3) Institutional capacity building and knowledge transfer of sustainable heritage management(EN)

(4.1) Training of Trainers program for the capacity development of the site managers and professors(EN)

(4.2) Co-Design and development of Diversty and Inclusion training program: mentoring for Group C(EN)

(4.3) O.4.3- Diversity and inclusion training program co-lad by the Consortium and Group A(EN)

(5.1) Cascade training model with the Empowerment of group A for the upscaling of training programs toward group B(EN)

(5.2) Innovative approach for the experimentation of management and communication plans of pilot sites(EN)

(5.3) Cascade training model to empower group B and scale programs for local fragile communities(EN)",,yes,yes,yes,yes,yes,no,no,beneficiaries | youth | women | communities,EN,,,,http://www.uniroma1.it,5,5,5,5,4,5,5,5,4.9,2021-2027 ongoing; training/learning signal; capacity-building signal; knowledge-transfer signal; N.a.; geo=5,"Turn training, workshops and capacity-building assets into scalable learning paths.",Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=33268 | partner_org_type=N.a. | partner_legal_status=public | project_budget=EUR 2 806 048.00
keep.eu,https://keep.eu/projects/31295/,2026-05-31T20:49:13.796Z,partner_in_project,EAPA_0143/2024,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area,Impact4Mar,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-11-03,2028-04-28,Ireland,Athlone,La Palma Research Centre (La Palma Office),partner,no,Spain,Los Llanos de Aridane,methodology | methodologies | toolkit | knowledge exchange | uptake | sme | smes | platform,"Impact4Mar aims to accelerate the transition of SMEs in the maritime sector of the Atlantic area by facilitating an innovative access to tools and methodologies for assessing Impact, Risks and Opportunities (IRO) in Corporate Social Responsibility (CSR) dimensions.
Through transnational knowledge exchange, Impact4Mar proposes an integrated approach based on a common methodology across the regional maritime ecosystems involved to: - Conduct an analysis of sustainability IROs assessment practices in the maritime sector - Prototype and validate a Toolkit through pilots in maritime SMEs -Capitalize and disseminate the results through a digital platform and bootcamps.
By offering maritime SME-focused solutions, the project empowers businesses to comply with EU sustainability regulations, align with the EU Green Deal and UN 2030 Agenda and enhance resilience, competitiveness and innovation as a catalyst for the Blue Economy’s sustainable development in Europe.",RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,,,no,no,yes,yes,yes,yes,no,smes,EN,,,,https://keep.eu/projects/31295/,5,5,5,4,5,5,5,5,4.8,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=31295 | partner_org_type=N.a. | project_budget=EUR 1 433 161.00
keep.eu,https://keep.eu/projects/33271/,2026-05-31T20:49:13.796Z,partner_in_project,00032,"Healthcare Enterprises and Research Alliance for Collaboration, Learning, and Exploitation of AI-driven business Solutions",HERACLES~A_T_1.1_0235,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-31,2028-10-30,Italy,70121 Bari,Università degli Studi di Bari Aldo Moro,lead,yes,Italy,70121 Bari,learning | education | technology transfer | dissemination | communication | exploitation | valorisation | uptake | sme | enterprise | enterprises | companies | entrepreneur | entrepreneurs | entrepreneurship,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD:

028. Technology transfer and cooperation between enterprises, research centres and higher education sector
~
SUMMARY: The HERACLES Project aims to establish and strengthen a multi-actor research network between companies and universities, focusing on the application of AI to enhance predictive medicine and health crisis preparedness, addressing significant common challenges in the Mediterranean region and transforming healthcare, making it more efficient. The project promotes Open Innovation and Open Research paradigms, exploring AI's potential alongside legal and regulatory frameworks to ensure proper valorisation of research through intellectual property and technology transfer mechanisms. Key activities of the HERACLES Project include implementing a Pilot Project that develops collaboration schemes between stakeholders at a transnational level, facilitating the exchange of researchers and entrepreneurs. These schemes aim to foster interaction between the scientific research community and the health technology business sector, integrating various stakeholders to develop AI-based tools specialised in predictive medicine and crisis management. Additionally, the project will explore and develop innovative business models to transform scientific research results into tangible commercial opportunities. By addressing common healthcare challenges through a collaborative and innovative approach, the HERACLES Project promises substantial benefits. It aims to drive forward a new era of AI-enhanced medical care, ultimately improving healthcare systems across the Mediterranean region and ensuring a more robust response to health crises. The expected changes include improved patient outcomes, more efficient allocation of healthcare resources, and the integration of advanced AI technologies into everyday clinical practice, benefiting patients, healthcare providers, and the broader medical community.
~
KEEP KEYWORDS: Health and social services, ICT and digital society, SME and entrepreneurship",RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"(1.1) 1.1 - Technical Manual on reporting and financial procedures(EN)

(1.2) 1.2 - Progress reports(EN)

(1.3) 1.3 - Project meetings(EN)

(1.4) 1.4 - Monitoring and Quality Plan(EN)

(2.1) Communication Plan and Strategy(EN)

(2.2) HERACLES Dissemination events(EN)

(2.3) Digital communication(EN)

(2.4) HERACLES project poster(EN)

(2.5) Dissemination material(EN)

(2.6) Inception Video and Final Video(EN)

(3.1) The Transnational Research Network is established(EN)

(3.1) The Transnational Research Network is established(EN)

(4.1) The targeted stakeholders are aware of AI for healthcare domain and predictive medicine(EN)

(4.2) The research network is operative(EN)

(4.2) The research network is operative(EN)

(4.3) The research network is valorized(EN)",,yes,no,yes,yes,yes,yes,yes,companies | entrepreneurs,EN,,,,https://www.uniba.it/it,5,5,5,5,5,2,5,4,4.65,2021-2027 ongoing; training/learning signal; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=33271 | partner_org_type=N.a. | partner_legal_status=public | project_budget=EUR 2 461 000.00
keep.eu,https://keep.eu/projects/33271/,2026-05-31T20:49:13.796Z,partner_in_project,00032,"Healthcare Enterprises and Research Alliance for Collaboration, Learning, and Exploitation of AI-driven business Solutions",HERACLES~A_T_1.1_0235,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-31,2028-10-30,Italy,70121 Bari,Universidad de Huelva,partner,no,Spain,21007 Huelva,learning | education | technology transfer | dissemination | communication | exploitation | valorisation | uptake | sme | enterprise | enterprises | companies | entrepreneur | entrepreneurs | entrepreneurship,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD:

028. Technology transfer and cooperation between enterprises, research centres and higher education sector
~
SUMMARY: The HERACLES Project aims to establish and strengthen a multi-actor research network between companies and universities, focusing on the application of AI to enhance predictive medicine and health crisis preparedness, addressing significant common challenges in the Mediterranean region and transforming healthcare, making it more efficient. The project promotes Open Innovation and Open Research paradigms, exploring AI's potential alongside legal and regulatory frameworks to ensure proper valorisation of research through intellectual property and technology transfer mechanisms. Key activities of the HERACLES Project include implementing a Pilot Project that develops collaboration schemes between stakeholders at a transnational level, facilitating the exchange of researchers and entrepreneurs. These schemes aim to foster interaction between the scientific research community and the health technology business sector, integrating various stakeholders to develop AI-based tools specialised in predictive medicine and crisis management. Additionally, the project will explore and develop innovative business models to transform scientific research results into tangible commercial opportunities. By addressing common healthcare challenges through a collaborative and innovative approach, the HERACLES Project promises substantial benefits. It aims to drive forward a new era of AI-enhanced medical care, ultimately improving healthcare systems across the Mediterranean region and ensuring a more robust response to health crises. The expected changes include improved patient outcomes, more efficient allocation of healthcare resources, and the integration of advanced AI technologies into everyday clinical practice, benefiting patients, healthcare providers, and the broader medical community.
~
KEEP KEYWORDS: Health and social services, ICT and digital society, SME and entrepreneurship",RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"(1.1) 1.1 - Technical Manual on reporting and financial procedures(EN)

(1.2) 1.2 - Progress reports(EN)

(1.3) 1.3 - Project meetings(EN)

(1.4) 1.4 - Monitoring and Quality Plan(EN)

(2.1) Communication Plan and Strategy(EN)

(2.2) HERACLES Dissemination events(EN)

(2.3) Digital communication(EN)

(2.4) HERACLES project poster(EN)

(2.5) Dissemination material(EN)

(2.6) Inception Video and Final Video(EN)

(3.1) The Transnational Research Network is established(EN)

(3.1) The Transnational Research Network is established(EN)

(4.1) The targeted stakeholders are aware of AI for healthcare domain and predictive medicine(EN)

(4.2) The research network is operative(EN)

(4.2) The research network is operative(EN)

(4.3) The research network is valorized(EN)",,yes,no,yes,yes,yes,yes,yes,companies | entrepreneurs,EN,,,,http://www.uhu.es,5,5,5,5,5,2,5,4,4.65,2021-2027 ongoing; training/learning signal; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=33271 | partner_org_type=N.a. | partner_legal_status=public | project_budget=EUR 2 461 000.00
keep.eu,https://keep.eu/projects/33267/,2026-05-31T20:49:13.796Z,partner_in_project,00015,EmpoweerNEET MED: Upskilling NEETs through Social and Solidarity Economy,EmpoweerNEET~A_T_3.1_0156,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-24,2028-04-23,Palestine,00972 Nablus,Associació Fons Català de Cooperació al Desenvolupament,partner,no,Spain,08002 Barcelona,training | learning | education | workshop | skills | upskilling | capacity | guidelines | handbook | dissemination | communication | entrepreneur | entrepreneurs | entrepreneurship | startup | platform | communities,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD:

151. Support for adult education (excluding infrastructure)
~
SUMMARY: EmpowerNEET is an innovative transnational initiative aimed at integrating NEETs—young people not engaged in employment, education, or training—into the Social and Solidarity Economy (SSE) across the Mediterranean. These individuals face significant challenges, including high unemployment rates, economic exclusion, and limited access to quality education and vocational training, exacerbating social inequalities. EmpowerNEET leverages the underutilised potential of the SSE to promote inclusive economic growth and social integration.

By facilitating the transnational sharing of best practices and expertise, EmpowerNEET brings together entities from Palestine, Spain, Greece, Tunisia, Lebanon, and France to effectively address NEET marginalisation. The project offers comprehensive training programs to develop entrepreneurial and employment skills, provides practical experiences through job shadowing and mentoring, and ensures sustainability via supportive policy frameworks and ethical financing models.

EmpowerNEET aims to transition NEETs from economic and social marginalisation to empowerment. Key outputs include an extensive capacity-building program that equips 300 NEETs with essential theoretical and practical skills tailored for the SSE. Additionally, the project collaborates with local authorities to develop sustainable financing strategies, securing the long-term success of SSE initiatives and providing systemic support for NEETs.

The expected change includes improved employability and entrepreneurial capacity among NEETs. This project will benefit NEETs by enhancing their skills and opportunities, local governments by providing robust frameworks for NEETs and SSE support, and the broader community by stimulating economic growth and social cohesion. EmpowerNEET not only enhances the economic prospects of NEETs but also strengthens local communities by supporting SSEs, boosting economic vitality, and fostering inclusive growth.
~
KEEP KEYWORDS: Education and training, Labour market and employment, Social inclusion and equal opportunities","RSO4.2. Improving equal access to inclusive and quality services in education, training and lifelong learning through developing accessible infrastructure, including by fostering resilience for distance and on-line education and training","(1.1) Project Handbook(EN)

(1.2) Comprehensive Monitoring and Evaluation (M&E) System(EN)

(1.3) Project Meetings(EN)

(2.1) Communication and Dissemination Plan, Inception and Final Video, and Poster(EN)

(2.2) Documentation and Dissemination of SSE Awards and MED Dialogue(EN)

(2.3) Knowledge Dissemination, Engagement, and Capitalisation Package(EN)

(3.1) EmpowerNEET Training Modules(EN)

(3.2) Training workshops across six countries by Joint training program for empowering NEETs in inclusive social entrepreneurship within SSE(EN)

(3.3) Enhancement of Existing SSE Training and Networking Platforms(EN)

(3.4) EmpowerNEET MEL System(EN)

(4.1) Job-Shadowing and Cross-border Exchange Programs for NEETs(EN)

(4.2) Guidelines for SSE financing(EN)

(4.3) Startup Support Package for NEET-led SSE Initiatives(EN)

Joint scheme for NEET integration into SSE through fair participation(EN)

(5.1) Sustainable Financing Strategies for NEETs in SSE(EN)

(5.2) Comprehensive Policy Paper on NEET Integration within SSE(EN)

(5.3) Implementation Roadmap for Local Governments(EN)",,yes,yes,yes,yes,no,no,yes,communities | entrepreneurs,EN,,,,https://www.fonscatala.org/en,5,5,5,5,5,2,5,4,4.65,2021-2027 ongoing; training/learning signal; capacity-building signal; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=33267 | partner_org_type=N.a. | partner_legal_status=public | project_budget=EUR 2 300 500.00
keep.eu,https://keep.eu/projects/31296/,2026-05-31T20:49:13.796Z,partner_in_project,EAPA_0145/2024,Sustainable Microalgae and Cyanobacteria-Based Bioactive Compounds for Cosmeceuticals and Nutraceuticals,SMACC+,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,Spain,Ourense,Aqualgae Sociedade Limitada (Research and Development),partner,no,Portugal,Viana do Castelo,knowledge transfer | pilot action | pilot actions | uptake | scalable | sme | smes,"A pioneering initiative set to transform the cosmeceutical and nutraceutical industries by utilizing bioactives and biopolymers from microalgae. This project introduces innovative, low-impact methods to produce high-value ingredients, replacing synthetic additives while reducing water use and minimizing waste.
By optimizing microalgae cultivation and recovering valuable by-products, the project demonstrates scalable solutions that support a shift toward renewable, eco-friendly alternatives. Key outputs include pilot actions, innovative biotechnological solutions, and high-value bio-based products for industrial adoption, benefiting SMEs, researchers, and blue biotechnology industries.
With a transnational approach, the initiative integrates regional expertise, fosters knowledge transfer, and drives sustainable growth in the Atlantic’s blue economy. By accelerating innovation and competitiveness in the bioeconomy sector,it paves the way for a more sustainable future.",RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,,,no,no,yes,no,yes,yes,no,smes,EN,,,,https://keep.eu/projects/31296/,5,5,4,4,5,5,5,5,4.6,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=5,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=31296 | partner_org_type=N.a. | project_budget=EUR 2 803 068.07
keep.eu,https://keep.eu/projects/33268/,2026-05-31T20:49:13.796Z,partner_in_project,00048,Developing Inclusive Education in the Mediterranean,DIEM~A_T_3.1_0118,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-03,2028-10-02,Italy,00185 Roma,Universitat Politècnica de València,partner,no,Spain,46022 Valencia,training | trainings | learning | education | course | skills | capacity building | capacity development | capacity | knowledge transfer | toolkit | dissemination | communication | replication | scalability | beneficiaries | youth | women | communities,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD:

151. Support for adult education (excluding infrastructure)
~
SUMMARY: The Mediterranean is united by some major challenges related to the development of its different areas and communities, especially regarding the gap between cultural heritage developmental potential and the social and economic precariousness prevailing around important cultural sites.
Education, continuous training and skills development represent a key tool both for strengthening the potential of territories and for promoting inclusion, empowerment and social cohesion.
Furthermore, Cultural Heritage (CH) is one of the most sound, common and recognizable Mediterranean traits as well as an acknowledged driver for its development.
Accordingly, its main objective will be reinforcing and innovating the consortium's different learning/teaching systems to make them more integrated and compatible. Besides, the focus on Cultural Heritage will allow DIEM to exploit the acknowledged multiplier effect of CH-oriented activities in terms of know-how exchanging, empowerment of people and, eventually, economic growth.
Hence, DIEM is expected to contribute to social inclusion and to skills development for the unintegrated groups (youth, women, rural inhabitants and NEETs). Capitalizing on the experience of its partners, DIEM will move along 3 concurrent lines of development: deliver a cascade model of teaching/training programs for 3 groups (A-Leaders, B-Future Managers, C-Local communities); setup a toolkit for teaching/learning capable to combine knowledge, emerging technologies (i.e. AI) and the lessons learned from the pandemic; assume DIEM as an occasion for the first beneficiaries and for broader communities, the assets and territories belonging to the 6 countries of DIEM consortium (IT, EGY, JOR, TUN, ES,PS).
The project entails 3 technical WPs: Standardization (Partners design systems for international cooperation), Training around pilot areas (TOT courses and inclusion-oriented trainings), Scalability (replication on youth and extension to broader communities).
~
KEEP KEYWORDS: Cultural heritage and arts, Education and training, Social inclusion and equal opportunities","RSO4.2. Improving equal access to inclusive and quality services in education, training and lifelong learning through developing accessible infrastructure, including by fostering resilience for distance and on-line education and training","(1.1) Project coordination and implementation teams(EN)

(1.2) Set up of the project Steering Committee(EN)

(1.3) Set up of Scientific and Technical Committee(EN)

(2.1) Communication and Dissemination Plan (CDP)(EN)

(2.2) Communication and dissemination events(EN)

(2.3) Content Creation on the web site of the project and Social Media Broadcasting(EN)

(2.4) Sourcing and relationship with the target groups and beneficiaries(EN)

(2.5) Cross-border network, dissemination and capitalization(EN)

(3.1) Transborder and multilayer approach for development of a common training and education system(EN)

(3.2) Digitization and sharing of the common training and education system(EN)

(3.3) Institutional capacity building and knowledge transfer of sustainable heritage management(EN)

(4.1) Training of Trainers program for the capacity development of the site managers and professors(EN)

(4.2) Co-Design and development of Diversty and Inclusion training program: mentoring for Group C(EN)

(4.3) O.4.3- Diversity and inclusion training program co-lad by the Consortium and Group A(EN)

(5.1) Cascade training model with the Empowerment of group A for the upscaling of training programs toward group B(EN)

(5.2) Innovative approach for the experimentation of management and communication plans of pilot sites(EN)

(5.3) Cascade training model to empower group B and scale programs for local fragile communities(EN)",,yes,yes,yes,yes,yes,no,no,beneficiaries | youth | women | communities,EN,,,,https://irp.webs.upv.es/,5,5,5,5,4,2,5,4,4.55,2021-2027 ongoing; training/learning signal; capacity-building signal; knowledge-transfer signal; N.a.; geo=5,"Turn training, workshops and capacity-building assets into scalable learning paths.",Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=33268 | partner_org_type=N.a. | partner_legal_status=public | project_budget=EUR 2 806 048.00
keep.eu,https://keep.eu/projects/33268/,2026-05-31T20:49:13.796Z,partner_in_project,00048,Developing Inclusive Education in the Mediterranean,DIEM~A_T_3.1_0118,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-03,2028-10-02,Italy,00185 Roma,Fondazione MeNO ETS – Italy,partner,no,Italy,90133 Palermo,training | trainings | learning | education | course | skills | capacity building | capacity development | capacity | knowledge transfer | toolkit | dissemination | communication | replication | scalability | beneficiaries | youth | women | communities,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD:

151. Support for adult education (excluding infrastructure)
~
SUMMARY: The Mediterranean is united by some major challenges related to the development of its different areas and communities, especially regarding the gap between cultural heritage developmental potential and the social and economic precariousness prevailing around important cultural sites.
Education, continuous training and skills development represent a key tool both for strengthening the potential of territories and for promoting inclusion, empowerment and social cohesion.
Furthermore, Cultural Heritage (CH) is one of the most sound, common and recognizable Mediterranean traits as well as an acknowledged driver for its development.
Accordingly, its main objective will be reinforcing and innovating the consortium's different learning/teaching systems to make them more integrated and compatible. Besides, the focus on Cultural Heritage will allow DIEM to exploit the acknowledged multiplier effect of CH-oriented activities in terms of know-how exchanging, empowerment of people and, eventually, economic growth.
Hence, DIEM is expected to contribute to social inclusion and to skills development for the unintegrated groups (youth, women, rural inhabitants and NEETs). Capitalizing on the experience of its partners, DIEM will move along 3 concurrent lines of development: deliver a cascade model of teaching/training programs for 3 groups (A-Leaders, B-Future Managers, C-Local communities); setup a toolkit for teaching/learning capable to combine knowledge, emerging technologies (i.e. AI) and the lessons learned from the pandemic; assume DIEM as an occasion for the first beneficiaries and for broader communities, the assets and territories belonging to the 6 countries of DIEM consortium (IT, EGY, JOR, TUN, ES,PS).
The project entails 3 technical WPs: Standardization (Partners design systems for international cooperation), Training around pilot areas (TOT courses and inclusion-oriented trainings), Scalability (replication on youth and extension to broader communities).
~
KEEP KEYWORDS: Cultural heritage and arts, Education and training, Social inclusion and equal opportunities","RSO4.2. Improving equal access to inclusive and quality services in education, training and lifelong learning through developing accessible infrastructure, including by fostering resilience for distance and on-line education and training","(1.1) Project coordination and implementation teams(EN)

(1.2) Set up of the project Steering Committee(EN)

(1.3) Set up of Scientific and Technical Committee(EN)

(2.1) Communication and Dissemination Plan (CDP)(EN)

(2.2) Communication and dissemination events(EN)

(2.3) Content Creation on the web site of the project and Social Media Broadcasting(EN)

(2.4) Sourcing and relationship with the target groups and beneficiaries(EN)

(2.5) Cross-border network, dissemination and capitalization(EN)

(3.1) Transborder and multilayer approach for development of a common training and education system(EN)

(3.2) Digitization and sharing of the common training and education system(EN)

(3.3) Institutional capacity building and knowledge transfer of sustainable heritage management(EN)

(4.1) Training of Trainers program for the capacity development of the site managers and professors(EN)

(4.2) Co-Design and development of Diversty and Inclusion training program: mentoring for Group C(EN)

(4.3) O.4.3- Diversity and inclusion training program co-lad by the Consortium and Group A(EN)

(5.1) Cascade training model with the Empowerment of group A for the upscaling of training programs toward group B(EN)

(5.2) Innovative approach for the experimentation of management and communication plans of pilot sites(EN)

(5.3) Cascade training model to empower group B and scale programs for local fragile communities(EN)",,yes,yes,yes,yes,yes,no,no,beneficiaries | youth | women | communities,EN,,,,https://www.fondazionemeno.org/,5,5,5,5,4,2,5,4,4.55,2021-2027 ongoing; training/learning signal; capacity-building signal; knowledge-transfer signal; N.a.; geo=5,"Turn training, workshops and capacity-building assets into scalable learning paths.",Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=33268 | partner_org_type=N.a. | partner_legal_status=private | project_budget=EUR 2 806 048.00
keep.eu,https://keep.eu/projects/31295/,2026-05-31T20:49:13.796Z,partner_in_project,EAPA_0143/2024,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area,Impact4Mar,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-11-03,2028-04-28,Ireland,Athlone,Technological University of the Shannon: Midlands Midwest (Research Development and Innovation ),lead,yes,Ireland,Athlone,methodology | methodologies | toolkit | knowledge exchange | uptake | sme | smes | platform,"Impact4Mar aims to accelerate the transition of SMEs in the maritime sector of the Atlantic area by facilitating an innovative access to tools and methodologies for assessing Impact, Risks and Opportunities (IRO) in Corporate Social Responsibility (CSR) dimensions.
Through transnational knowledge exchange, Impact4Mar proposes an integrated approach based on a common methodology across the regional maritime ecosystems involved to: - Conduct an analysis of sustainability IROs assessment practices in the maritime sector - Prototype and validate a Toolkit through pilots in maritime SMEs -Capitalize and disseminate the results through a digital platform and bootcamps.
By offering maritime SME-focused solutions, the project empowers businesses to comply with EU sustainability regulations, align with the EU Green Deal and UN 2030 Agenda and enhance resilience, competitiveness and innovation as a catalyst for the Blue Economy’s sustainable development in Europe.",RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,,,no,no,yes,yes,yes,yes,no,smes,EN,,,,https://keep.eu/projects/31295/,5,3,5,4,5,5,5,5,4.5,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=3,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=31295 | partner_org_type=N.a. | project_budget=EUR 1 433 161.00
keep.eu,https://keep.eu/projects/31295/,2026-05-31T20:49:13.796Z,partner_in_project,EAPA_0143/2024,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area,Impact4Mar,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-11-03,2028-04-28,Ireland,Athlone,South East Technological University (RIKON Research Centre - SETU),partner,no,Ireland,Waterford,methodology | methodologies | toolkit | knowledge exchange | uptake | sme | smes | platform,"Impact4Mar aims to accelerate the transition of SMEs in the maritime sector of the Atlantic area by facilitating an innovative access to tools and methodologies for assessing Impact, Risks and Opportunities (IRO) in Corporate Social Responsibility (CSR) dimensions.
Through transnational knowledge exchange, Impact4Mar proposes an integrated approach based on a common methodology across the regional maritime ecosystems involved to: - Conduct an analysis of sustainability IROs assessment practices in the maritime sector - Prototype and validate a Toolkit through pilots in maritime SMEs -Capitalize and disseminate the results through a digital platform and bootcamps.
By offering maritime SME-focused solutions, the project empowers businesses to comply with EU sustainability regulations, align with the EU Green Deal and UN 2030 Agenda and enhance resilience, competitiveness and innovation as a catalyst for the Blue Economy’s sustainable development in Europe.",RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,,,no,no,yes,yes,yes,yes,no,smes,EN,,,,https://keep.eu/projects/31295/,5,3,5,4,5,5,5,5,4.5,2021-2027 ongoing; knowledge-transfer signal; business-facing beneficiaries; N.a.; geo=3,Convert project outputs into reusable SME and entrepreneurship training journeys.,Review partner website and project page; validate live outputs and training assets.,keep_numeric_id=31295 | partner_org_type=N.a. | project_budget=EUR 1 433 161.00
